n_links,cond_id,vol_err_pct,ang_err,seed,gt_density_L1,gt_density_L2,gt_density_L3,gt_density_L4,gt_density_L5,gt_density_L6,est_density_L1,est_density_L2,est_density_L3,est_density_L4,est_density_L5,est_density_L6,err_pct_L1,err_pct_L2,err_pct_L3,err_pct_L4,err_pct_L5,err_pct_L6,mean_err_pct,n_configs,n_measurements,final_uncertainty,converged,grasp_point,wall_time_sec
2,C0,1,1%rel(min0.5deg),0,5200.0,700.0,,,,,5154.2,697.9,,,,,0.8800,0.2930,,,,,0.5865,1,3,0.5085,True,link1_proximal_end_center (sensor origin; base welded at bbox center +L1/2 x),0.02
2,C0,1,1%rel(min0.5deg),1,5200.0,700.0,,,,,5251.3,690.8,,,,,0.9859,1.3158,,,,,1.1508,2,6,0.4183,True,link1_proximal_end_center (sensor origin; base welded at bbox center +L1/2 x),0.04
2,C0,1,1%rel(min0.5deg),2,5200.0,700.0,,,,,5240.4,691.1,,,,,0.7764,1.2651,,,,,1.0208,1,3,0.6274,True,link1_proximal_end_center (sensor origin; base welded at bbox center +L1/2 x),0.02
2,C0,1,1%rel(min0.5deg),3,5200.0,700.0,,,,,5241.5,700.5,,,,,0.7986,0.0708,,,,,0.4347,1,3,0.6534,True,link1_proximal_end_center (sensor origin; base welded at bbox center +L1/2 x),0.03
2,C0,1,1%rel(min0.5deg),4,5200.0,700.0,,,,,5164.1,699.8,,,,,0.6911,0.0279,,,,,0.3595,1,3,0.7646,True,link1_proximal_end_center (sensor origin; base welded at bbox center +L1/2 x),0.02
2,C1,5,1%rel(min0.5deg),0,5200.0,700.0,,,,,4984.4,685.2,,,,,4.1467,2.1186,,,,,3.1326,1,3,0.8230,True,link1_proximal_end_center (sensor origin; base welded at bbox center +L1/2 x),0.02
2,C1,5,1%rel(min0.5deg),1,5200.0,700.0,,,,,5456.9,658.4,,,,,4.9401,5.9426,,,,,5.4413,2,6,0.7251,True,link1_proximal_end_center (sensor origin; base welded at bbox center +L1/2 x),0.03
2,C1,5,1%rel(min0.5deg),2,5200.0,700.0,,,,,5446.4,662.1,,,,,4.7388,5.4090,,,,,5.0739,2,6,0.4291,True,link1_proximal_end_center (sensor origin; base welded at bbox center +L1/2 x),0.02
2,C1,5,1%rel(min0.5deg),3,5200.0,700.0,,,,,5432.8,728.3,,,,,4.4770,4.0489,,,,,4.2630,2,6,0.6528,True,link1_proximal_end_center (sensor origin; base welded at bbox center +L1/2 x),0.03
2,C1,5,1%rel(min0.5deg),4,5200.0,700.0,,,,,4998.3,677.3,,,,,3.8793,3.2360,,,,,3.5576,2,6,0.7341,True,link1_proximal_end_center (sensor origin; base welded at bbox center +L1/2 x),0.04
2,C2,1,5%rel(min0.5deg),0,5200.0,700.0,,,,,5154.2,697.9,,,,,0.8799,0.2935,,,,,0.5867,1,3,0.5085,True,link1_proximal_end_center (sensor origin; base welded at bbox center +L1/2 x),0.01
2,C2,1,5%rel(min0.5deg),1,5200.0,700.0,,,,,5250.8,690.8,,,,,0.9773,1.3181,,,,,1.1477,2,6,0.4621,True,link1_proximal_end_center (sensor origin; base welded at bbox center +L1/2 x),0.03
2,C2,1,5%rel(min0.5deg),2,5200.0,700.0,,,,,5240.4,691.1,,,,,0.7767,1.2670,,,,,1.0218,1,3,0.6277,True,link1_proximal_end_center (sensor origin; base welded at bbox center +L1/2 x),0.01
2,C2,1,5%rel(min0.5deg),3,5200.0,700.0,,,,,5241.7,700.4,,,,,0.8024,0.0603,,,,,0.4314,1,3,0.6554,True,link1_proximal_end_center (sensor origin; base welded at bbox center +L1/2 x),0.02
2,C2,1,5%rel(min0.5deg),4,5200.0,700.0,,,,,5164.7,699.5,,,,,0.6793,0.0653,,,,,0.3723,1,3,0.7787,True,link1_proximal_end_center (sensor origin; base welded at bbox center +L1/2 x),0.03
2,C3,5,5%rel(min0.5deg),0,5200.0,700.0,,,,,4984.4,685.2,,,,,4.1455,2.1213,,,,,3.1334,1,3,0.8266,True,link1_proximal_end_center (sensor origin; base welded at bbox center +L1/2 x),0.01
2,C3,5,5%rel(min0.5deg),1,5200.0,700.0,,,,,5455.6,657.6,,,,,4.9151,6.0506,,,,,5.4828,2,6,0.8194,True,link1_proximal_end_center (sensor origin; base welded at bbox center +L1/2 x),0.03
2,C3,5,5%rel(min0.5deg),2,5200.0,700.0,,,,,5446.7,662.3,,,,,4.7443,5.3833,,,,,5.0638,2,6,0.4246,True,link1_proximal_end_center (sensor origin; base welded at bbox center +L1/2 x),0.03
2,C3,5,5%rel(min0.5deg),3,5200.0,700.0,,,,,5433.3,728.7,,,,,4.4864,4.1049,,,,,4.2957,2,6,0.6464,True,link1_proximal_end_center (sensor origin; base welded at bbox center +L1/2 x),0.04
2,C3,5,5%rel(min0.5deg),4,5200.0,700.0,,,,,4996.7,675.8,,,,,3.9100,3.4518,,,,,3.6809,2,6,0.7444,True,link1_proximal_end_center (sensor origin; base welded at bbox center +L1/2 x),0.05
3,C0,1,1%rel(min0.5deg),0,5200.0,1907.9,700.0,,,,5150.8,1905.3,694.5,,,,0.9462,0.1365,0.7861,,,,0.6229,2,6,0.4372,True,link1_proximal_end_center (sensor origin; base welded at bbox center +L1/2 x),0.54
3,C0,1,1%rel(min0.5deg),1,5200.0,1907.9,700.0,,,,5149.9,1946.6,694.2,,,,0.9643,2.0309,0.8322,,,,1.2758,2,6,0.7085,True,link1_proximal_end_center (sensor origin; base welded at bbox center +L1/2 x),0.24
3,C0,1,1%rel(min0.5deg),2,5200.0,1907.9,700.0,,,,5247.4,1907.7,705.8,,,,0.9113,0.0102,0.8304,,,,0.5840,2,6,0.6049,True,link1_proximal_end_center (sensor origin; base welded at bbox center +L1/2 x),0.48
3,C0,1,1%rel(min0.5deg),3,5200.0,1907.9,700.0,,,,5151.3,1936.8,694.5,,,,0.9361,1.5156,0.7812,,,,1.0776,2,6,0.5221,True,link1_proximal_end_center (sensor origin; base welded at bbox center +L1/2 x),0.56
3,C0,1,1%rel(min0.5deg),4,5200.0,1907.9,700.0,,,,5250.2,1883.3,691.2,,,,0.9658,1.2880,1.2571,,,,1.1703,2,6,0.5396,True,link1_proximal_end_center (sensor origin; base welded at bbox center +L1/2 x),0.12
3,C1,5,1%rel(min0.5deg),0,5200.0,1907.9,700.0,,,,4965.0,1887.1,674.3,,,,4.5187,1.0877,3.6774,,,,3.0946,2,6,0.5083,True,link1_proximal_end_center (sensor origin; base welded at bbox center +L1/2 x),0.63
3,C1,5,1%rel(min0.5deg),1,5200.0,1907.9,700.0,,,,4960.7,2092.1,674.9,,,,4.6025,9.6541,3.5928,,,,5.9498,2,6,0.7290,True,link1_proximal_end_center (sensor origin; base welded at bbox center +L1/2 x),0.26
3,C1,5,1%rel(min0.5deg),2,5200.0,1907.9,700.0,,,,5453.1,1898.2,728.9,,,,4.8668,0.5071,4.1293,,,,3.1677,2,6,0.7737,True,link1_proximal_end_center (sensor origin; base welded at bbox center +L1/2 x),0.50
3,C1,5,1%rel(min0.5deg),3,5200.0,1907.9,700.0,,,,4961.9,2059.8,671.7,,,,4.5786,7.9614,4.0500,,,,5.5300,2,6,0.5041,True,link1_proximal_end_center (sensor origin; base welded at bbox center +L1/2 x),0.46
